,,,,,
,,,,,
,,,,,
Deutsche Bank share prices,,,,,
NYSE (USD),,,,,
,,,,,
Date,Open,High,Low,Close,Volume (shares)
01/03/2023,11.71,11.79,11.60,11.71,"49,01,899"
01/04/2023,12.27,12.55,12.24,12.48,"87,14,519"
01/05/2023,12.16,12.18,12.05,12.14,"47,18,340"
01/06/2023,12.15,12.44,12.09,12.44,"32,79,896"
01/09/2023,12.53,12.65,12.43,12.44,"56,38,741"
01/10/2023,12.44,12.65,12.38,12.63,"72,24,951"
01/11/2023,12.63,12.68,12.57,12.67,"24,25,790"
01/12/2023,12.74,12.82,12.64,12.82,"34,49,908"
01/13/2023,12.50,12.76,12.49,12.73,"30,07,382"
01/17/2023,12.96,13.08,12.84,12.91,"29,76,712"
01/18/2023,13.05,13.06,12.82,12.85,"32,67,338"
01/19/2023,12.77,12.82,12.65,12.80,"36,29,883"
01/20/2023,12.85,13.04,12.82,13.04,"28,23,714"
01/23/2023,12.96,13.05,12.92,12.99,"36,91,281"
01/24/2023,12.92,13.07,12.88,13.03,"24,75,646"
01/25/2023,12.90,13.08,12.88,13.07,"27,61,400"
01/26/2023,13.17,13.31,13.09,13.31,"35,40,544"
01/27/2023,13.36,13.45,13.30,13.43,"26,29,309"
01/30/2023,13.38,13.47,13.28,13.29,"24,70,037"
01/31/2023,13.25,13.38,13.20,13.38,"25,20,021"
02/01/2023,13.35,13.57,13.27,13.49,"42,28,332"
02/02/2023,12.88,12.91,12.46,12.58,"90,39,255"
02/03/2023,12.50,12.58,12.38,12.43,"46,44,318"
02/06/2023,12.23,12.25,12.12,12.22,"37,42,459"
02/07/2023,12.24,12.51,12.24,12.48,"37,12,340"
02/08/2023,12.52,12.58,12.50,12.55,"27,73,923"
02/09/2023,12.67,12.70,12.44,12.49,"28,86,850"
02/10/2023,12.17,12.18,12.03,12.11,"43,45,771"
02/13/2023,12.19,12.29,12.15,12.27,"21,55,903"
02/14/2023,12.26,12.51,12.25,12.40,"50,66,936"
02/15/2023,12.21,12.28,12.15,12.28,"18,49,183"
02/16/2023,12.50,12.68,12.48,12.57,"31,97,135"
02/17/2023,12.61,12.72,12.58,12.72,"32,51,066"
02/21/2023,12.33,12.44,12.22,12.28,"32,23,203"
02/22/2023,12.14,12.23,12.05,12.18,"22,11,006"
02/23/2023,12.21,12.24,12.08,12.16,"22,74,514"
02/24/2023,11.97,12.03,11.89,11.97,"28,70,538"
02/27/2023,12.28,12.32,12.21,12.25,"21,97,524"
02/28/2023,12.50,12.56,12.45,12.46,"25,56,723"
03/01/2023,12.47,12.52,12.31,12.42,"31,29,813"
03/02/2023,12.15,12.21,12.08,12.20,"24,27,164"
03/03/2023,12.29,12.48,12.29,12.48,"25,06,319"
03/06/2023,12.47,12.60,12.46,12.52,"16,47,165"
03/07/2023,12.45,12.46,12.11,12.13,"35,66,146"
03/08/2023,12.24,12.38,12.23,12.30,"21,14,015"
03/09/2023,12.16,12.23,11.90,11.91,"39,20,247"
03/10/2023,11.28,11.45,11.05,11.12,"1,34,94,732"
03/13/2023,10.65,11.04,10.59,10.87,"78,81,946"
03/14/2023,11.32,11.43,11.18,11.26,"54,47,658"
03/15/2023,10.16,10.61,10.06,10.50,"1,37,14,150"
03/16/2023,10.00,10.32,9.80,10.32,"1,02,25,227"
03/17/2023,9.97,9.99,9.71,9.89,"68,43,703"
03/20/2023,9.82,10.14,9.80,9.91,"1,04,86,281"
03/21/2023,10.55,10.65,10.50,10.59,"64,33,177"
03/22/2023,10.59,10.64,10.27,10.28,"47,43,170"
03/23/2023,9.12,9.43,8.85,9.35,"3,68,89,393"
03/24/2023,9.12,9.43,8.85,9.35,"3,68,85,027"
